gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Age 
female,group B,bachelor's degree,standard,none,72,72,74,17
female,group C,some college,standard,completed,69,90,88,19
female,group B,master's degree,standard,none,90,95,93,19
male,group A,associate's degree,free/reduced,none,47,57,44,17
male,group C,some college,standard,none,76,78,75,19
female,group B,associate's degree,standard,none,71,83,78,17
female,group B,some college,standard,completed,88,95,92,17
male,group B,some college,free/reduced,none,40,43,39,18
male,group D,high school,free/reduced,completed,64,64,67,17
female,group B,high school,free/reduced,none,38,60,50,18
male,group C,associate's degree,standard,none,58,54,52,17
male,group D,associate's degree,standard,none,40,52,43,18
female,group B,high school,standard,none,65,81,73,19
male,group A,some college,standard,completed,78,72,70,17
female,group A,master's degree,standard,none,50,53,58,17
female,group C,some high school,standard,none,69,75,78,18
male,group C,high school,standard,none,88,89,86,17
female,group B,some high school,free/reduced,none,18,32,28,17
male,group C,master's degree,free/reduced,completed,46,42,46,18
female,group C,associate's degree,free/reduced,none,54,58,61,19
male,group D,high school,standard,none,66,69,63,18
female,group B,some college,free/reduced,completed,65,75,70,19
male,group D,some college,standard,none,44,54,53,17
female,group C,some high school,standard,none,69,73,73,19
male,group D,bachelor's degree,free/reduced,completed,74,71,80,18
male,group A,master's degree,free/reduced,none,73,74,72,19
male,group B,some college,standard,none,69,54,55,19
female,group C,bachelor's degree,standard,none,67,69,75,18
male,group C,high school,standard,none,70,70,65,17
female,group D,master's degree,standard,none,62,70,75,18
female,group D,some college,standard,none,69,74,74,18
female,group B,some college,standard,none,63,65,61,18
female,group E,master's degree,free/reduced,none,56,72,65,17
male,group D,some college,standard,none,40,42,38,18
male,group E,some college,standard,none,97,87,82,18
male,group E,associate's degree,standard,completed,81,81,79,17
female,group D,associate's degree,standard,none,74,81,83,17
female,group D,some high school,free/reduced,none,50,64,59,18
female,group D,associate's degree,free/reduced,completed,75,90,88,18
male,group B,associate's degree,free/reduced,none,57,56,57,19
male,group C,associate's degree,free/reduced,none,55,61,54,17
female,group C,associate's degree,standard,none,58,73,68,17
female,group B,associate's degree,standard,none,53,58,65,19
male,group B,some college,free/reduced,completed,59,65,66,17
female,group E,associate's degree,free/reduced,none,50,56,54,17
male,group B,associate's degree,standard,none,65,54,57,18
female,group A,associate's degree,standard,completed,55,65,62,18
female,group C,high school,standard,none,66,71,76,19
female,group D,associate's degree,free/reduced,completed,57,74,76,19
male,group C,high school,standard,completed,82,84,82,19
male,group E,some college,standard,none,53,55,48,17
male,group E,associate's degree,free/reduced,completed,77,69,68,17
male,group C,some college,standard,none,53,44,42,18
male,group D,high school,standard,none,88,78,75,19
female,group C,some high school,free/reduced,completed,71,84,87,17
female,group C,high school,free/reduced,none,33,41,43,19
female,group E,associate's degree,standard,completed,82,85,86,18
male,group D,associate's degree,standard,none,52,55,49,18
male,group D,some college,standard,completed,58,59,58,18
female,group C,some high school,free/reduced,none,0,17,10,18
male,group E,bachelor's degree,free/reduced,completed,79,74,72,17
male,group A,some high school,free/reduced,none,39,39,34,19
male,group A,associate's degree,free/reduced,none,62,61,55,17
female,group C,associate's degree,standard,none,69,80,71,18
female,group D,some high school,standard,none,59,58,59,17
male,group B,some high school,standard,none,67,64,61,19
male,group D,some high school,free/reduced,none,45,37,37,18
female,group C,some college,standard,none,60,72,74,18
male,group B,associate's degree,free/reduced,none,61,58,56,17
female,group C,associate's degree,standard,none,39,64,57,18
female,group D,some college,free/reduced,completed,58,63,73,19
male,group D,some college,standard,completed,63,55,63,19
female,group A,associate's degree,free/reduced,none,41,51,48,18
